"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:17:59.3",2314549,-1.00825,-5.168,0.539,-0.3263245,34,17.90808,49.7712,3.80737,3.211782,97.89337,19.11901,221.1765
"2023-05-13 21:17:59.35",2314550,-1.08025,-5.34575,0.8425,-0.3180847,35,17.90518,49.88105,3.825402,3.229831,97.90666,19.11081,220.6293
"2023-05-13 21:17:59.4",2314551,-0.9955,-5.82875,0.7862501,-0.210968,36,17.90147,49.74284,3.816324,3.238917,97.89619,19.14364,221.9426
"2023-05-13 21:17:59.45",2314552,-1.17075,-5.62975,0.749,-0.1005249,37,17.90453,49.58918,3.817621,3.216849,97.89899,19.13543,223.3653
"2023-05-13 21:17:59.5",2314553,-1.5185,-5.4735,0.9685,-0.1483154,38,17.91231,49.60256,3.818917,3.212955,97.89558,19.12722,222.5992
"2023-05-13 21:17:59.55",2314554,-1.334,-5.8225,0.9457501,-0.07250977,39,17.91285,49.59596,3.812433,3.235023,97.89619,19.15185,223.803
"2023-05-13 21:17:59.6",2314555,-0.8055,-5.97325,0.57675,-0.1549072,40,17.91655,49.79055,3.815027,3.219445,97.90826,19.15185,222.4898
"2023-05-13 21:17:59.65",2314556,-2.03875,-5.95325,0.8857501,-0.3543396,41,17.90874,49.8315,3.812433,3.214252,97.88789,19.12722,221.7237
"2023-05-13 21:17:59.7",2314557,-2.3445,-5.83825,0.71375,-0.2818298,42,17.90589,49.70354,3.800886,3.206589,97.89533,19.11081,223.4747
"2023-05-13 21:17:59.75",2314558,-2.02375,-5.60075,0.33625,0.01983643,43,17.90221,49.69935,3.80737,3.224763,97.89314,19.13543,223.9124
"2023-05-13 21:17:59.8",2314559,-0.836,-5.47625,0.77675,-0.3016357,44,17.90618,49.63294,3.83448,3.245408,97.89094,19.14364,224.1313
"2023-05-13 21:17:59.85",2314560,-1.2785,-5.5395,0.2815,-0.1648254,45,17.90812,49.54347,3.824105,3.225936,97.91875,19.12722,224.4597
"2023-05-13 21:17:59.9",2314561,-1.08625,-6.28075,0.4615,-0.01974487,46,17.91163,49.56237,3.820214,3.227234,97.88326,19.12722,224.5691
"2023-05-13 21:17:59.95",2314562,-1.57,-5.74675,0.9720001,-0.08898926,47,17.91306,49.75616,3.802057,3.231129,97.89046,19.16826,224.5691
"2023-05-13 21:18:00",2314563,-2.13875,-4.8485,1.048,-0.2175903,48,17.90619,49.73247,3.802057,3.227234,97.89375,19.19289,224.5691
"2023-05-13 21:18:00.05",2314564,-2.1545,-5.03875,0.7135,-0.06097412,49,17.90962,49.85822,3.805948,3.214252,97.8968,19.28317,224.3502
"2023-05-13 21:18:00.1",2314565,-1.62075,-5.8875,-0.44775,-0.2043762,50,17.90565,49.78498,3.808667,3.22736,97.88752,19.12722,225.3352
"2023-05-13 21:18:00.15",2314566,-1.1205,-5.68325,-0.5005,-0.3510742,51,17.90643,49.7388,3.805948,3.242812,97.89155,19.15185,224.5691
"2023-05-13 21:18:00.2",2314567,-1.1775,-5.9125,-0.47775,-0.4466248,52,17.90963,49.65623,3.825402,3.219445,97.8968,19.21751,223.3653
"2023-05-13 21:18:00.25",2314568,-1.05625,-6.0605,-0.9065,-0.2736206,53,17.90917,49.67019,3.796869,3.236321,97.89094,19.34063,225.4446
"2023-05-13 21:18:00.3",2314569,-0.78075,-5.328,-0.24675,-0.09228516,54,17.90792,49.72551,3.816324,3.240216,97.90423,19.26676,224.6785
"2023-05-13 21:18:00.35",2314570,-1.86575,-5.446,0.16125,-0.14505,55,17.91277,49.79331,3.809839,3.233725,97.88348,19.12722,214.3913
"2023-05-13 21:18:00.4",2314571,-1.32875,-5.542,-0.19725,-0.01153564,56,17.90873,49.81134,3.808542,3.238917,97.89558,19.12722,215.5951
